"Threat_Group",Industry,Description,Alias,Id,"__mv_Threat_Group","__mv_Industry","__mv_Description","__mv_Alias","__mv_Id"
UNC2452,"Consulting
Government
Information And Communications Technology
Telecommunications
Think Tank","[UNC2452](https://attack.mitre.org/groups/G0118) is a suspected Russian state-sponsored threat group responsible for the 2020 SolarWinds software supply chain intrusion.(Citation: FireEye SUNBURST Backdoor December 2020) Victims of this campaign include government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East.(Citation: FireEye SUNBURST Backdoor December 2020) The group also compromised at least one think tank by late 2019.(Citation: Volexity SolarWinds)","UNC2452
NOBELIUM
StellarParticle
Dark Halo",G0118,,"$Consulting$;$Government$;$Information And Communications Technology$;$Telecommunications$;$Think Tank$",,"$UNC2452$;$NOBELIUM$;$StellarParticle$;$Dark Halo$",
"Operation Wocao","Energy
Government
Healthcare
Hospital
Information And Communications Technology","[Operation Wocao](https://attack.mitre.org/groups/G0116) described activities carried out by a China-based cyber espionage adversary. [Operation Wocao](https://attack.mitre.org/groups/G0116) targeted entities within the government, managed service providers, energy, health care, and technology sectors across several countries, including China, France, Germany, the United Kingdom, and the United States. [Operation Wocao](https://attack.mitre.org/groups/G0116) used similar TTPs and tools to APT20, suggesting a possible overlap.(Citation: FoxIT Wocao December 2019)","Operation Wocao",G0116,,"$Energy$;$Government$;$Healthcare$;$Hospital$;$Information And Communications Technology$",,,
Cleaver,"-","[Cleaver](https://attack.mitre.org/groups/G0003) is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver. (Citation: Cylance Cleaver) Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889). (Citation: Dell Threat Group 2889)","Cleaver
Threat Group 2889
TG-2889",G0003,,,,"$Cleaver$;$Threat Group 2889$;$TG-2889$",
GCMAN,Banking,"[GCMAN](https://attack.mitre.org/groups/G0036) is a threat group that focuses on targeting banks for the purpose of transferring money to e-currency services. (Citation: Securelist GCMAN)",GCMAN,G0036,,,,,
"Wizard Spider","Healthcare
Hospital","[Wizard Spider](https://attack.mitre.org/groups/G0102) is a Russia-based financially motivated threat group originally known for the creation and deployment of [TrickBot](https://attack.mitre.org/software/S0266) since at least 2016. [Wizard Spider](https://attack.mitre.org/groups/G0102) possesses a diverse arsenal of tools and has conducted ransomware campaigns against a variety of organizations, ranging from major corporations to hospitals.(Citation: CrowdStrike Ryuk January 2019)(Citation: DHS/CISA Ransomware Targeting Healthcare October 2020)(Citation: CrowdStrike Wizard Spider October 2020)","Wizard Spider
UNC1878
TEMP.MixMaster
Grim Spider",G0102,,"$Healthcare$;$Hospital$",,"$Wizard Spider$;$UNC1878$;$TEMP.MixMaster$;$Grim Spider$",
"Magic Hound","Defense
Education
Government
Manufacturing","[Magic Hound](https://attack.mitre.org/groups/G0059) is an Iranian-sponsored threat group that conducts long term, resource-intensive cyber espionage operations, likely on behalf of the Islamic Revolutionary Guard Corps. They have targeted U.S. and Middle Eastern government and military personnel, academics, journalists, and organizations such as the World Health Organization (WHO), via complex social engineering campaigns since at least 2014.(Citation: FireEye APT35 2018)(Citation: ClearSky Kittens Back 3 August 2020)(Citation: Certfa Charming Kitten January 2021)(Citation: Secureworks COBALT ILLUSION Threat Profile)(Citation: Proofpoint TA453 July2021)","Magic Hound
TA453
COBALT ILLUSION
Charming Kitten
ITG18
Phosphorus
Newscaster
APT35",G0059,,"$Defense$;$Education$;$Government$;$Manufacturing$",,"$Magic Hound$;$TA453$;$COBALT ILLUSION$;$Charming Kitten$;$ITG18$;$Phosphorus$;$Newscaster$;$APT35$",
"Stolen Pencil",Education,"[Stolen Pencil](https://attack.mitre.org/groups/G0086) is a threat group likely originating from DPRK that has been active since at least May 2018. The group appears to have targeted academic institutions, but its motives remain unclear.(Citation: Netscout Stolen Pencil Dec 2018)","Stolen Pencil",G0086,,,,,
"Threat Group-3390","Aerospace
Defense
Energy
Gambling
Government
Information And Communications Technology
Manufacturing","[Threat Group-3390](https://attack.mitre.org/groups/G0027) is a Chinese threat group that has extensively used strategic Web compromises to target victims.(Citation: Dell TG-3390) The group has been active since at least 2010 and has targeted organizations in the aerospace, government, defense, technology, energy, manufacturing and gambling/betting sectors.(Citation: SecureWorks BRONZE UNION June 2017)(Citation: Securelist LuckyMouse June 2018)(Citation: Trend Micro DRBControl February 2020)","Threat Group-3390
Earth Smilodon
TG-3390
Emissary Panda
BRONZE UNION
APT27
Iron Tiger
LuckyMouse",G0027,,"$Aerospace$;$Defense$;$Energy$;$Gambling$;$Government$;$Information And Communications Technology$;$Manufacturing$",,"$Threat Group-3390$;$Earth Smilodon$;$TG-3390$;$Emissary Panda$;$BRONZE UNION$;$APT27$;$Iron Tiger$;$LuckyMouse$",
Silence,"Banking
Financial","[Silence](https://attack.mitre.org/groups/G0091) is a financially motivated threat actor targeting financial institutions in different countries. The group was first seen in June 2016. Their main targets reside in Russia, Ukraine, Belarus, Azerbaijan, Poland and Kazakhstan. They compromised various banking systems, including the Russian Central Bank's Automated Workstation Client, ATMs, and card processing.(Citation: Cyber Forensicator Silence Jan 2019)(Citation: SecureList Silence Nov 2017) ","Silence
WHISPER SPIDER",G0091,,"$Banking$;$Financial$",,"$Silence$;$WHISPER SPIDER$",
"Lazarus Group",Media,"[Lazarus Group](https://attack.mitre.org/groups/G0032) is a North Korean state-sponsored cyber threat group that has been attributed to the Reconnaissance General Bureau.(Citation: US-CERT HIDDEN COBRA June 2017)(Citation: Treasury North Korean Cyber Groups September 2019) The group has been active since at least 2009 and was reportedly responsible for the November 2014 destructive wiper attack against Sony Pictures Entertainment as part of a campaign named Operation Blockbuster by Novetta. Malware used by [Lazarus Group](https://attack.mitre.org/groups/G0032) correlates to other reported campaigns, including Operation Flame, Operation 1Mission, Operation Troy, DarkSeoul, and Ten Days of Rain. (Citation: Novetta Blockbuster)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups, such as [Andariel](https://attack.mitre.org/groups/G0138), [APT37](https://attack.mitre.org/groups/G0067), [APT38](https://attack.mitre.org/groups/G0082), and [Kimsuky](https://attack.mitre.org/groups/G0094).   ","Lazarus Group
Labyrinth Chollima
HIDDEN COBRA
Guardians of Peace
ZINC
NICKEL ACADEMY",G0032,,,,"$Lazarus Group$;$Labyrinth Chollima$;$HIDDEN COBRA$;$Guardians of Peace$;$ZINC$;$NICKEL ACADEMY$",
APT41,"Healthcare
Hospital
Information And Communications Technology
Telecommunications
Video Game","[APT41](https://attack.mitre.org/groups/G0096) is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least 2012, [APT41](https://attack.mitre.org/groups/G0096) has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries. [APT41](https://attack.mitre.org/groups/G0096) overlaps at least partially with public reporting on groups including BARIUM and [Winnti Group](https://attack.mitre.org/groups/G0044).(Citation: FireEye APT41 Aug 2019)(Citation: Group IB APT 41 June 2021)
","APT41
WICKED PANDA",G0096,,"$Healthcare$;$Hospital$;$Information And Communications Technology$;$Telecommunications$;$Video Game$",,"$APT41$;$WICKED PANDA$",
BlackTech,"Electronics And Hardware
Financial
Manufacturing
Media","[BlackTech](https://attack.mitre.org/groups/G0098) is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013. [BlackTech](https://attack.mitre.org/groups/G0098) has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks.(Citation: TrendMicro BlackTech June 2017)(Citation: Symantec Palmerworm Sep 2020)(Citation: Reuters Taiwan BlackTech August 2020)","BlackTech
Palmerworm",G0098,,"$Electronics And Hardware$;$Financial$;$Manufacturing$;$Media$",,"$BlackTech$;$Palmerworm$",
Higaisa,Government,"[Higaisa](https://attack.mitre.org/groups/G0126) is a threat group suspected to have South Korean origins. [Higaisa](https://attack.mitre.org/groups/G0126) has targeted government, public, and trade organizations in North Korea; however, they have also carried out attacks in China, Japan, Russia, Poland, and other nations. [Higaisa](https://attack.mitre.org/groups/G0126) was first disclosed in early 2019 but is assessed to have operated as early as 2009.(Citation: Malwarebytes Higaisa 2020)(Citation: Zscaler Higaisa 2020)(Citation: PTSecurity Higaisa 2020)",Higaisa,G0126,,,,,
APT29,"Consulting
Government
Information And Communications Technology
Research
Telecommunications
Think Tank","[APT29](https://attack.mitre.org/groups/G0016) is threat group that has been attributed to Russia's Foreign Intelligence Service (SVR).(Citation: White House Imposing Costs RU Gov April 2021)(Citation: UK Gov Malign RIS Activity April 2021) They have operated since at least 2008, often targeting government networks in Europe and NATO member countries, research institutes, and think tanks. [APT29](https://attack.mitre.org/groups/G0016) reportedly compromised the Democratic National Committee starting in the summer of 2015.(Citation: F-Secure The Dukes)(Citation: GRIZZLY STEPPE JAR)(Citation: Crowdstrike DNC June 2016)(Citation: UK Gov UK Exposes Russia SolarWinds April 2021)

In April 2021, the US and UK governments attributed the SolarWinds supply chain compromise cyber operation to the SVR; public statements included citations to [APT29](https://attack.mitre.org/groups/G0016), Cozy Bear, and The Dukes.(Citation: NSA Joint Advisory SVR SolarWinds April 2021)(Citation: UK NSCS Russia SolarWinds April 2021) Victims of this campaign included government, consulting, technology, telecom, and other organizations in North America, Europe, Asia, and the Middle East. Industry reporting referred to the actors involved in this campaign as UNC2452, NOBELIUM, StellarParticle, and Dark Halo.(Citation: FireEye SUNBURST Backdoor December 2020)(Citation: MSTIC NOBELIUM Mar 2021)(Citation: CrowdStrike SUNSPOT Implant January 2021)(Citation: Volexity SolarWinds)(Citation: Cybersecurity Advisory SVR TTP May 2021)","APT29
IRON RITUAL
IRON HEMLOCK
NobleBaron
Dark Halo
StellarParticle
NOBELIUM
UNC2452
YTTRIUM
The Dukes
Cozy Bear
CozyDuke",G0016,,"$Consulting$;$Government$;$Information And Communications Technology$;$Research$;$Telecommunications$;$Think Tank$",,"$APT29$;$IRON RITUAL$;$IRON HEMLOCK$;$NobleBaron$;$Dark Halo$;$StellarParticle$;$NOBELIUM$;$UNC2452$;$YTTRIUM$;$The Dukes$;$Cozy Bear$;$CozyDuke$",
Turla,"-","[Turla](https://attack.mitre.org/groups/G0010) is a Russian-based threat group that has infected victims in over 45 countries, spanning a range of industries including government, embassies, military, education, research and pharmaceutical companies since 2004. Heightened activity was seen in mid-2015. [Turla](https://attack.mitre.org/groups/G0010) is known for conducting watering hole and spearphishing campaigns and leveraging in-house tools and malware. [Turla](https://attack.mitre.org/groups/G0010)’s espionage platform is mainly used against Windows machines, but has also been seen used against macOS and Linux machines.(Citation: Kaspersky Turla)(Citation: ESET Gazer Aug 2017)(Citation: CrowdStrike VENOMOUS BEAR)(Citation: ESET Turla Mosquito Jan 2018)","Turla
IRON HUNTER
Group 88
Belugasturgeon
Waterbug
WhiteBear
VENOMOUS BEAR
Snake
Krypton",G0010,,,,"$Turla$;$IRON HUNTER$;$Group 88$;$Belugasturgeon$;$Waterbug$;$WhiteBear$;$VENOMOUS BEAR$;$Snake$;$Krypton$",
"Sandworm Team","Chemical
Government","[Sandworm Team](https://attack.mitre.org/groups/G0034) is a destructive threat group that has been attributed to Russia's General Staff Main Intelligence Directorate (GRU) Main Center for Special Technologies (GTsST) military unit 74455.(Citation: US District Court Indictment GRU Unit 74455 October 2020)(Citation: UK NCSC Olympic Attacks October 2020) This group has been active since at least 2009.(Citation: iSIGHT Sandworm 2014)(Citation: CrowdStrike VOODOO BEAR)(Citation: USDOJ Sandworm Feb 2020)(Citation: NCSC Sandworm Feb 2020)

In October 2020, the US indicted six GRU Unit 74455 officers associated with [Sandworm Team](https://attack.mitre.org/groups/G0034) for the following cyber operations: the 2015 and 2016 attacks against Ukrainian electrical companies and government organizations, the 2017 worldwide [NotPetya](https://attack.mitre.org/software/S0368) attack, targeting of the 2017 French presidential campaign, the 2018 [Olympic Destroyer](https://attack.mitre.org/software/S0365) attack against the Winter Olympic Games, the 2018 operation against the Organisation for the Prohibition of Chemical Weapons, and attacks against the country of Georgia in 2018 and 2019.(Citation: US District Court Indictment GRU Unit 74455 October 2020)(Citation: UK NCSC Olympic Attacks October 2020) Some of these were conducted with the assistance of GRU Unit 26165, which is also referred to as [APT28](https://attack.mitre.org/groups/G0007).(Citation: US District Court Indictment GRU Oct 2018)","Sandworm Team
ELECTRUM
Telebots
IRON VIKING
BlackEnergy (Group)
Quedagh
VOODOO BEAR",G0034,,"$Chemical$;$Government$",,"$Sandworm Team$;$ELECTRUM$;$Telebots$;$IRON VIKING$;$BlackEnergy (Group)$;$Quedagh$;$VOODOO BEAR$",
Chimera,"Aviation
Electronics And Hardware","[Chimera](https://attack.mitre.org/groups/G0114) is a suspected China-based threat group that has been active since at least 2018 targeting the semiconductor industry in Taiwan as well as data from the airline industry.(Citation: Cycraft Chimera April 2020)(Citation: NCC Group Chimera January 2021)",Chimera,G0114,,"$Aviation$;$Electronics And Hardware$",,,
BackdoorDiplomacy,"Government
Telecommunications","[BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) is a cyber espionage threat group that has been active since at least 2017. [BackdoorDiplomacy](https://attack.mitre.org/groups/G0135) has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and Asia.(Citation: ESET BackdoorDiplomacy Jun 2021)",BackdoorDiplomacy,G0135,,"$Government$;$Telecommunications$",,,
Windshift,"Critical Infrastructure
Government","[Windshift](https://attack.mitre.org/groups/G0112) is a threat group that has been active since at least 2017, targeting specific individuals for surveillance in government departments and critical infrastructure across the Middle East.(Citation: SANS Windshift August 2018)(Citation: objective-see windtail1 dec 2018)(Citation: objective-see windtail2 jan 2019)","Windshift
Bahamut",G0112,,"$Critical Infrastructure$;$Government$",,"$Windshift$;$Bahamut$",
FIN4,"Financial
Healthcare
Hospital
Pharmaceutical","[FIN4](https://attack.mitre.org/groups/G0085) is a financially-motivated threat group that has targeted confidential information related to the public financial market, particularly regarding healthcare and pharmaceutical companies, since at least 2013.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye FIN4 Stealing Insider NOV 2014) [FIN4](https://attack.mitre.org/groups/G0085) is unique in that they do not infect victims with typical persistent malware, but rather they focus on capturing credentials authorized to access email and other non-public correspondence.(Citation: FireEye Hacking FIN4 Dec 2014)(Citation: FireEye Hacking FIN4 Video Dec 2014)",FIN4,G0085,,"$Financial$;$Healthcare$;$Hospital$;$Pharmaceutical$",,,
APT38,"Banking
Financial","[APT38](https://attack.mitre.org/groups/G0082) is a North Korean state-sponsored threat group that specializes in financial cyber operations; it has been attributed to the Reconnaissance General Bureau.(Citation: CISA AA20-239A BeagleBoyz August 2020) Active since at least 2014, [APT38](https://attack.mitre.org/groups/G0082) has targeted banks, financial institutions, casinos, cryptocurrency exchanges, SWIFT system endpoints, and ATMs in at least 38 countries worldwide. Significant operations include the 2016 Bank of Bangladesh heist, during which [APT38](https://attack.mitre.org/groups/G0082) stole $81 million, as well as attacks against Bancomext (2018) and Banco de Chile (2018); some of their attacks have been destructive.(Citation: CISA AA20-239A BeagleBoyz August 2020)(Citation: FireEye APT38 Oct 2018)(Citation: DOJ North Korea Indictment Feb 2021)(Citation: Kaspersky Lazarus Under The Hood Blog 2017)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.","APT38
NICKEL GLADSTONE
BeagleBoyz
Bluenoroff
Stardust Chollima",G0082,,"$Banking$;$Financial$",,"$APT38$;$NICKEL GLADSTONE$;$BeagleBoyz$;$Bluenoroff$;$Stardust Chollima$",
Darkhotel,"Defense
Lodging","[Darkhotel](https://attack.mitre.org/groups/G0012) is a suspected South Korean threat group that has targeted victims primarily in East Asia since at least 2004. The group's name is based on cyber espionage operations conducted via hotel Internet networks against traveling executives and other select guests. [Darkhotel](https://attack.mitre.org/groups/G0012) has also conducted spearphishing campaigns and infected victims through peer-to-peer and file sharing networks.(Citation: Kaspersky Darkhotel)(Citation: Securelist Darkhotel Aug 2015)(Citation: Microsoft Digital Defense FY20 Sept 2020)","Darkhotel
DUBNIUM",G0012,,"$Defense$;$Lodging$",,"$Darkhotel$;$DUBNIUM$",
Ke3chang,"Defense
Government
Nonprofit
Petroleum","[Ke3chang](https://attack.mitre.org/groups/G0004) is a threat group attributed to actors operating out of China. [Ke3chang](https://attack.mitre.org/groups/G0004) has targeted oil, government, diplomatic, military, and NGOs in Central and South America, the Caribbean, Europe, and North America since at least 2010.(Citation: Mandiant Operation Ke3chang November 2014)(Citation: NCC Group APT15 Alive and Strong)(Citation: APT15 Intezer June 2018)(Citation: Microsoft NICKEL December 2021)","Ke3chang
APT15
Mirage
Vixen Panda
GREF
Playful Dragon
RoyalAPT
NICKEL",G0004,,"$Defense$;$Government$;$Nonprofit$;$Petroleum$",,"$Ke3chang$;$APT15$;$Mirage$;$Vixen Panda$;$GREF$;$Playful Dragon$;$RoyalAPT$;$NICKEL$",
"Mustang Panda","Government
Nonprofit","[Mustang Panda](https://attack.mitre.org/groups/G0129) is a China-based cyber espionage threat actor that was first observed in 2017 but may have been conducting operations since at least 2014. [Mustang Panda](https://attack.mitre.org/groups/G0129) has targeted government entities, nonprofits, religious, and other non-governmental organizations in the U.S., Europe, Mongolia, Myanmar, Pakistan, and Vietnam, among others.(Citation: Crowdstrike MUSTANG PANDA June 2018)(Citation: Anomali MUSTANG PANDA October 2019)(Citation: Secureworks BRONZE PRESIDENT December 2019) ","Mustang Panda
TA416
RedDelta
BRONZE PRESIDENT",G0129,,"$Government$;$Nonprofit$",,"$Mustang Panda$;$TA416$;$RedDelta$;$BRONZE PRESIDENT$",
Kimsuky,"Critical Infrastructure
Energy
Government
Nuclear
Think Tank
Water","[Kimsuky](https://attack.mitre.org/groups/G0094) is a North Korea-based cyber espionage group that has been active since at least 2012. The group initially focused on targeting South Korean government entities, think tanks, and individuals identified as experts in various fields, and expanded its operations to include the United States, Russia, Europe, and the UN. [Kimsuky](https://attack.mitre.org/groups/G0094) has focused its intelligence collection activities on foreign policy and national security issues related to the Korean peninsula, nuclear policy, and sanctions.(Citation: EST Kimsuky April 2019)(Citation: BRI Kimsuky April 2019)(Citation: Cybereason Kimsuky November 2020)(Citation: Malwarebytes Kimsuky June 2021)(Citation: CISA AA20-301A Kimsuky)

[Kimsuky](https://attack.mitre.org/groups/G0094) was assessed to be responsible for the 2014 Korea Hydro & Nuclear Power Co. compromise; other notable campaigns include Operation STOLEN PENCIL (2018), Operation Kabar Cobra (2019), and Operation Smoke Screen (2019).(Citation: Netscout Stolen Pencil Dec 2018)(Citation: EST Kimsuky SmokeScreen April 2019)(Citation: AhnLab Kimsuky Kabar Cobra Feb 2019)

North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name [Lazarus Group](https://attack.mitre.org/groups/G0032) instead of tracking clusters or subgroups.","Kimsuky
STOLEN PENCIL
Thallium
Black Banshee
Velvet Chollima",G0094,,"$Critical Infrastructure$;$Energy$;$Government$;$Nuclear$;$Think Tank$;$Water$",,"$Kimsuky$;$STOLEN PENCIL$;$Thallium$;$Black Banshee$;$Velvet Chollima$",
Whitefly,"-","[Whitefly](https://attack.mitre.org/groups/G0107) is a cyber espionage group that has been operating since at least 2017. The group has targeted organizations based mostly in Singapore across a wide variety of sectors, and is primarily interested in stealing large amounts of sensitive information. The group has been linked to an attack against Singapore’s largest public health organization, SingHealth.(Citation: Symantec Whitefly March 2019)",Whitefly,G0107,,,,,
SilverTerrier,"Education
Information And Communications Technology
Manufacturing","[SilverTerrier](https://attack.mitre.org/groups/G0083) is a Nigerian threat group that has been seen active since 2014. [SilverTerrier](https://attack.mitre.org/groups/G0083) mainly targets organizations in high technology, higher education, and manufacturing.(Citation: Unit42 SilverTerrier 2018)(Citation: Unit42 SilverTerrier 2016)",SilverTerrier,G0083,,"$Education$;$Information And Communications Technology$;$Manufacturing$",,,
Leviathan,"Aerospace
Aviation
Defense
Government
Healthcare
Hospital
Logistics And Shipping
Manufacturing
Maritime
Transportation","[Leviathan](https://attack.mitre.org/groups/G0065) is a Chinese state-sponsored cyber espionage group that has been attributed to the Ministry of State Security's (MSS) Hainan State Security Department and an affiliated front company.(Citation: CISA AA21-200A APT40 July 2021) Active since at least 2009, [Leviathan](https://attack.mitre.org/groups/G0065) has targeted the following sectors: academia, aerospace/aviation, biomedical, defense industrial base, government, healthcare, manufacturing, maritime, and transportation across the US, Canada, Europe, the Middle East, and Southeast Asia.(Citation: CISA AA21-200A APT40 July 2021)(Citation: Proofpoint Leviathan Oct 2017)(Citation: FireEye Periscope March 2018)","Leviathan
MUDCARP
Kryptonite Panda
Gadolinium
BRONZE MOHAWK
TEMP.Jumper
APT40
TEMP.Periscope",G0065,,"$Aerospace$;$Aviation$;$Defense$;$Government$;$Healthcare$;$Hospital$;$Logistics And Shipping$;$Manufacturing$;$Maritime$;$Transportation$",,"$Leviathan$;$MUDCARP$;$Kryptonite Panda$;$Gadolinium$;$BRONZE MOHAWK$;$TEMP.Jumper$;$APT40$;$TEMP.Periscope$",
Confucius,"Defense
Government","[Confucius](https://attack.mitre.org/groups/G0142) is a cyber espionage group that has primarily targeted military personnel, high-profile personalities, business persons, and government organizations in South Asia since at least 2013. Security researchers have noted similarities between [Confucius](https://attack.mitre.org/groups/G0142) and [Patchwork](https://attack.mitre.org/groups/G0040), particularly in their respective custom malware code and targets.(Citation: TrendMicro Confucius APT Feb 2018)(Citation: TrendMicro Confucius APT Aug 2021)(Citation: Uptycs Confucius APT Jan 2021)","Confucius APT",G0142,,"$Defense$;$Government$",,,
TA505,"-","[TA505](https://attack.mitre.org/groups/G0092) is a financially motivated threat group that has been active since at least 2014. The group is known for frequently changing malware and driving global trends in criminal malware distribution.(Citation: Proofpoint TA505 Sep 2017)(Citation: Proofpoint TA505 June 2018)(Citation: Proofpoint TA505 Jan 2019)","TA505
Hive0065",G0092,,,,"$TA505$;$Hive0065$",
APT3,"-","[APT3](https://attack.mitre.org/groups/G0022) is a China-based threat group that researchers have attributed to China's Ministry of State Security.(Citation: FireEye Clandestine Wolf)(Citation: Recorded Future APT3 May 2017) This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap.(Citation: FireEye Clandestine Wolf)(Citation: FireEye Operation Double Tap) As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.(Citation: Symantec Buckeye)

In 2017, MITRE developed an APT3 Adversary Emulation Plan.(Citation: APT3 Adversary Emulation Plan)","APT3
Gothic Panda
Pirpi
UPS Team
Buckeye
Threat Group-0110
TG-0110",G0022,,,,"$APT3$;$Gothic Panda$;$Pirpi$;$UPS Team$;$Buckeye$;$Threat Group-0110$;$TG-0110$",
"TEMP.Veles","Critical Infrastructure","[TEMP.Veles](https://attack.mitre.org/groups/G0088) is a Russia-based threat group that has targeted critical infrastructure. The group has been observed utilizing [TRITON](https://attack.mitre.org/software/S0609), a malware framework designed to manipulate industrial safety systems.(Citation: FireEye TRITON 2019)(Citation: FireEye TEMP.Veles 2018)(Citation: FireEye TEMP.Veles JSON April 2019)","TEMP.Veles
XENOTIME",G0088,,,,"$TEMP.Veles$;$XENOTIME$",
OilRig,"Chemical
Energy
Financial
Government
Telecommunications","[OilRig](https://attack.mitre.org/groups/G0049) is a suspected Iranian threat group that has targeted Middle Eastern and international victims since at least 2014. The group has targeted a variety of sectors, including financial, government, energy, chemical, and telecommunications. It appears the group carries out supply chain attacks, leveraging the trust relationship between organizations to attack their primary targets. FireEye assesses that the group works on behalf of the Iranian government based on infrastructure details that contain references to Iran, use of Iranian infrastructure, and targeting that aligns with nation-state interests.(Citation: Palo Alto OilRig April 2017)(Citation: ClearSky OilRig Jan 2017)(Citation: Palo Alto OilRig May 2016)(Citation: Palo Alto OilRig Oct 2016)(Citation: Unit 42 Playbook Dec 2017)(Citation: FireEye APT34 Dec 2017)(Citation: Unit 42 QUADAGENT July 2018)","OilRig
COBALT GYPSY
IRN2
HELIX KITTEN
APT34",G0049,,"$Chemical$;$Energy$;$Financial$;$Government$;$Telecommunications$",,"$OilRig$;$COBALT GYPSY$;$IRN2$;$HELIX KITTEN$;$APT34$",
"Dragonfly 2.0","Critical Infrastructure
Government","[Dragonfly 2.0](https://attack.mitre.org/groups/G0074) is a suspected Russian group that has targeted government entities and multiple U.S. critical infrastructure sectors since at least December 2015. (Citation: US-CERT TA18-074A) (Citation: Symantec Dragonfly Sept 2017) There is debate over the extent of overlap between [Dragonfly 2.0](https://attack.mitre.org/groups/G0074) and [Dragonfly](https://attack.mitre.org/groups/G0035), but there is sufficient evidence to lead to these being tracked as two separate groups. (Citation: Fortune Dragonfly 2.0 Sept 2017)(Citation: Dragos DYMALLOY )","Dragonfly 2.0
IRON LIBERTY
DYMALLOY
Berserk Bear",G0074,,"$Critical Infrastructure$;$Government$",,"$Dragonfly 2.0$;$IRON LIBERTY$;$DYMALLOY$;$Berserk Bear$",
Inception,Government,"[Inception](https://attack.mitre.org/groups/G0100) is a cyber espionage group active since at least 2014. The group has targeted multiple industries and governmental entities primarily in Russia, but has also been active in the United States and throughout Europe, Asia, Africa, and the Middle East.(Citation: Unit 42 Inception November 2018)(Citation: Symantec Inception Framework March 2018)(Citation: Kaspersky Cloud Atlas December 2014)","Inception
Inception Framework
Cloud Atlas",G0100,,,,"$Inception$;$Inception Framework$;$Cloud Atlas$",
