eventName,change_type
PutBucketAcl,storage
CreateChangeSet,resources
CreateDeliveryStream,data
CreateKeyspace,data
CreateLoadBalancerListeners,network
CreateLoadBalancerPolicy,network
CreateQueue,processing
CreateTable,data
CreateFunction20150331,resources
CreateLogGroup,logging
CreateLogStream,logging
GetBucketEncryption,storage
CreateVolume,storage
DeleteVolume,storage
AttachVolume,storage
DetachVolume,storage
DeleteBucket,storage
PutBucketPublicAccessBlock,storage
CreateBucket,storage
PutObject,storage
CreateNetworkAcl,firewall
CreateNetworkAclEntry,firewall
DeleteNetworkAcl,firewall
DeleteNetworkAclEntry,firewall
ReplaceNetworkAclEntry,firewall
ReplaceNetworkAclAssociation,firewall
RevokeSecurityGroupEgress,firewall
RevokeSecurityGroupIngress,firewall
AuthorizeSecurityGroupEgress,firewall
CreateNetworkInterface,firewall
AuthorizeSecurityGroupIngress,firewall
CreateSecurityGroup,firewall
DeleteSecurityGroup,firewall
StartInstances,virtual_server
RunInstances,virtual_server
StopInstances,virtual_server
TerminateInstances,virtual_server
RebootInstances,virtual_server
GetSessionToken,AAA
GetFederationToken,AAA
CreateLoginProfile,AAA
CreateUser,AAA
DeleteUser,AAA
UpdateUser,AAA
ListSigningCertificates,AAA
CreateAccessKey,AAA
ListAccessKeys,AAA
CreateVirtualMFADevice,AAA
GetUser,AAA
GetAccountSummary,AAA
ListAccountAliases,AAA
ListAliases,resources