code,result,object_attrs
8,logout,
32,owner added,owner
33,owner updated,owner
38,CPM verify password succeeded,password
39,safe renamed,
57,CPM change password succeeded,password
59,history cleared,history
60,CPM reconciled password,password
61,Trusted Network Area updated,
64,user renamed,username
69,location added,
71,location updated,
73,location deleted,
79,location renamed/moved,
81,address updated,
83,user history cleared,
86,Update Network Area,
88,password set,password
89,password set failed,password
91,Rename Network Area,
93,Move Network Area,
105,file category added,
106,file category updated,
107,file category deleted,
121,file moved,
123,file moved,
124,file renamed,
126,file unlocked,
130,CPM disable password succeeded,username
138,folder renamed,
139,folder moved,
140,folder renamed,
141,folder moved,
142,safe deleted,
143,picture stored,
148,safe deleted,
149,safe deleted,
170,safe deleted(Has Unexpired Files),
178,got user's details,
180,user added,
181,safe updated,
182,user updated,
183,safe deleted,
184,user deleted,
185,safe created,
188,folder deleted,
190,draft locked,
192,draft unlocked,
195,object content validated,
199,object content invalidated,
202,deletion started,files
203,deletion ended,files
211,updated user detailed information,
229,object content status pending,
246,LDAP Synchronization started,
247,LDAP Synchronization ended,
259,added/updated Group,
265,added group member,
266,group member removed,
270,group deleted,
273,owner removed,owner
278,rule added,
279,rule deleted,
288,auto clear users history started,history
289,auto clear users history ended,history
290,auto clear safes history started,history
291,auto clear safes history ended,history
294,password stored,password
295,password retrieved,password
305,report ran,file
308,password used,password
310,DR replication monitoring started,
311,DR replication monitoring ended,
312,backup replication monitoring started,
313,backup replication monitoring ended,
314,reset user password failed,password
316,user password detailed information reset,password
317,user password reset,password
321,report definition added,file
322,report definition edited,file
323,report definition deleted,file
324,report hided,file
355,monitoring license expiration date started,
356,monitoring license expiration date ended,
357,monitor FW rules started,rules
358,monitor FW rules ended,rules
382,app authentication added,
482,existing add account bulk operation successfully updated,