vendor_action_description,event_type
LINK_PRINCIPAL_ADMIN_ROLE,principal_event
UNLINK_PRINCIPAL_ADMIN_ROLE,principal_event
LINK_GROUP_PRINCIPAL,principal_event
UNLINK_GROUP_PRINCIPAL,principal_event
CREATE_PRINCIPAL,principal_event
REGISTER_PRINCIPAL,principal_event
UNREGISTER_PRINCIPAL,principal_event
DELETE_PRINCIPAL,principal_event
UPDATE_PRINCIPAL,principal_event
READ_PRINCIPAL,principal_event
FIND_ORPHANED_PRINCIPALS,principal_event
CREATE_PRINCIPAL_PREFERENCES,principal_event
DELETE_PRINCIPAL_PREFERENCES,principal_event
UPDATE_PRINCIPAL_PREFERENCES,principal_event
READ_PRINCIPAL_PREFERENCES,principal_event
LOOKUP_PRINCIPALS,principal_event
FIND_ORPHANED_PRINCIPALS_IS_UNSPECIFIED,principal_event
REMOVE_UNRESOLVED_PRINCIPAL,principal_event
MOVE_PRINCIPAL_ACROSS_IDENTITYSOURCE,principal_event
ENABLE_PRINCIPALS_FOR_RBA,principal_event
ENABLE_PRINCIPAL_FOR_RBA,principal_event
DISABLE_PRINCIPAL_FOR_RBA,principal_event
UPDATE_PRINCIPAL_LOGINUID,principal_event
UPDATE_PRINCIPAL_EXUID,principal_event
MOVE_PRINCIPAL_WITHIN_IDENTITYSOURCE,principal_event
UPDATE_PRINCIPAL_FOR_LDAP_CHANGE,principal_event
CREATE_AM_PRINCIPAL,principal_event
UPDATE_AM_PRINCIPAL,principal_event
DELETE_AM_PRINCIPAL,principal_event
READ_AM_PRINCIPAL_EMERGENCY_ACCESS_INFO,principal_event
READ_AM_PRINCIPAL,principal_event
TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_LINK,principal_event
REMOTE_PRINCIPAL_CREATE,principal_event
REMOTE_PRINCIPAL_UPDATE,principal_event
REMOTE_PRINCIPAL_DELETE,principal_event
REMOTE_PRINCIPAL_READ,principal_event
AM_REPORT_GENERATE_PRINCIPAL_NEVER_LOGGED_IN,principal_event
REMOTE_PRINCIPAL_ATTR_VALUE_CREATE,principal_event
REMOTE_PRINCIPAL_ATTR_VALUE_UPDATE,principal_event
REMOTE_PRINCIPAL_ATTR_VALUE_DELETE,principal_event
REMOTE_PRINCIPAL_ATTR_VALUE_READ,principal_event
AM_ENABLE_PRINCIPAL_FOR_SMS,principal_event
AM_DISABLE_PRINCIPAL_FOR_SMS,principal_event
AM_UPDATE_SMS_FOR_PRINCIPAL,principal_event
AM_RADIUS_LINK_PROFILE_PRINCIPAL,principal_event
AM_RADIUS_UNLINK_PROFILE_PRINCIPAL,principal_event
AM_RADIUS_LINK_PROFILE_PRINCIPAL_ALIAS,principal_event
AM_RADIUS_UNLINK_PROFILE_PRINCIPAL_ALIAS,principal_event
TRUSTED_USER_GROUP_REMOTE_PRINCIPAL_UNLINK,principal_event
READ_AM_TOKEN_OFFLINE_EMERGENCY_ACCESS_INFO,audit_event
READ_AM_TOKEN_ONLINE_EMERGENCY_ACCESS_INFO,audit_event
UPDATE_AM_TOKEN_ONLINE_EMERGENCY_ACCESS_INFO,audit_event
AM_TOKEN_ENABLED,audit_event
AM_TOKEN_DISABLED,audit_event
AM_CLEAR_TOKEN_PIN,audit_event
IMPORT_TOKEN,audit_event
CREATE_AM_TOKEN,audit_event
UPDATE_AM_TOKEN,audit_event
DELETE_AM_TOKEN,audit_event
SEARCH_AM_TOKEN,audit_event
NEXT_AVAILABLE_AM_TOKEN,audit_event
AUTHMGR_TOKEN_ATTRIBUTE_DELETE,audit_event
AUTHMGR_TOKEN_ATTRIBUTE_CREATE,audit_event
AUTHMGR_TOKEN_ATTRIBUTE_UPDATE,audit_event
AUTHMGR_TOKEN_SET_TOKENCODE_ONLY_PINTYPE,audit_event
AUTHMGR_TOKEN_SET_PASSCODE_PINTYPE,audit_event
SYNC_TOKENS,audit_event
READ_AM_TOKEN_EMERGENCY_ACCESS_INFO,audit_event
READ_TOKEN,audit_event
UPDATE_AM_TOKEN_OFFLINE_EMERGENCY_ACCESS_INFO,audit_event
AM_LINK_TOKEN_PRINCIPAL,audit_event
AM_UNLINK_TOKEN_PRINCIPAL,audit_event
AUTHMGR_TOKEN_STAT_SEARCH,audit_event
AUTHMGR_TOKEN_POLICY_CREATE,audit_event
AUTHMGR_TOKEN_POLICY_UPDATE,audit_event
AUTHMGR_TOKEN_POLICY_DELETE,audit_event
AUTHMGR_TOKEN_POLICY_READ,audit_event
EXPORT_SOFT_TOKEN,audit_event
AUTHMGR_REALM_PREDELETE_TOKEN_ATTR_DELETE,audit_event
AUTHMGR_REALM_PREDELETE_TOKEN_DELETE,audit_event
AM_TOKEN_GENERATE_ONLINE_EA,audit_event
LINK_UNLINK_TOKEN_PRINCIPAL,audit_event
AUTHMGR_TOKENTYPES_MANAGEMENT,audit_event
AUTHMGR_SELFSERVICETOKEN_MANAGEMENT,audit_event
ENABLED_EA_FIXED_TOKENCODE,audit_event
ENABLED_EA_ONE_TIME_TOKENCODE,audit_event
UPDATE_EA_FIXED_TOKENCODE,audit_event
UPDATE_EA_ONE_TIME_TOKENCODE,audit_event
GENERATED_EA_FIXED_TOKENCODE,audit_event
GENERATED_EA_ONE_TIME_TOKENCODE,audit_event
AM_LINK_SOFT_TOKEN_DEVICE_TYPE,audit_event
AM_UNLINK_SOFT_TOKEN_DEVICE_TYPE,audit_event
AM_TURN_ON_EVENTTOKEN_DB_RECOVERY,audit_event
AM_TURN_OFF_EVENTTOKEN_DB_RECOVERY,audit_event
DISTRIBUTE_SOFT_TOKEN_CTKIP,audit_event
IMPORT_SOFT_TOKEN_DEVICE_TYPE,audit_event
AM_TOKEN_ATTRDEF_CREATE,audit_event
AM_TOKEN_ATTRDEF_UPDATE,audit_event
AM_TOKEN_ATTRDEF_DELETE,audit_event
AM_TOKEN_ATTRDEF_READ,audit_event
RESYNC_AM_TOKEN,audit_event
AM_EVENT_TOKEN_DB_RECOVERY_START_ON,audit_event
AM_EVENT_TOKEN_DB_RECOVERY_ENABLED,audit_event
AM_EVENT_TOKEN_DB_RECOVERY_END_ON,audit_event
AM_EVENT_TOKEN_DB_RECOVERY_DISABLED,audit_event
DOWNLOADED_EA_ONE_TIME_TOKENCODE_TO_FILE,audit_event
IMPORT_TOKEN_FROM_EXPORTED_DATA,audit_event
UCM_TOKEN_PIN_CHANGE,audit_event
UCM_RESYNC_TOKEN,audit_event
UCM_PLACE_TOKEN_EA_MODE,audit_event
UCM_ACTIVATE_TOKEN,audit_event
UCM_ACTIVATE_REPLACEMENT_TOKEN,audit_event
UCM_ASSIGN_REPLACEMENT_TOKEN,audit_event
UCM_ASSIGN_SMS_TOKEN,audit_event
AM_SET_NEW_PIN_MODE,audit_event
AM_RESET_PIN,audit_event
UCM_CHANGE_SMS_PIN,audit_event
UCM_PIN_UNBLOCK,audit_event
PIN_UNBLOCK,audit_event
MANAGE_SMS_PIN,audit_event